Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
dentist red cow,3,3,170,80.22,2.85,https://www.3dental.ie/price-list/,3,0,8.00,0.14,6030000,"[54,42,65,81,42,65,81,100,100,81,81,81]",2020-12-25,"Knowledge panel, Site links, Reviews, Video"
composite bonding before and after,3,3,320,61.92,1.29,https://www.3dental.ie/bonding/,5,0.01,7.00,0.02,75700000,"[13,10,36,29,19,29,36,54,82,82,100,100]",2021-01-08,"Image pack, Site links, People also ask"
braces cost near me,3,3,90,60.5,0.00,https://www.3dental.ie/adult-braces/,8,0.02,0.00,0.08,56700000,"[0,100,0,100,0,0,0,100,100,100,100,100]",2020-12-31,"Knowledge panel, People also ask, FAQ"
denture implants,3,3,170,74.67,0.60,https://www.3dental.ie/implant-retained-dentures/,15,0.04,9.00,0.44,19400000,"[100,66,54,19,15,12,12,15,12,19,15,15]",2021-01-12,"Local pack, Image pack, People also ask"
dental veneers payment plan,3,3,90,62.93,0.00,https://www.3dental.ie/price-list/,1,0,0.00,0,6620000,"[33,0,33,33,33,33,33,33,33,0,100,0]",2021-01-06,People also ask
dentist dublin,3,4,3600,70.15,0.80,https://www.3dental.ie/,64,0.19,51.00,0.34,3760000,"[55,82,66,66,55,66,100,100,100,82,82,82]",2021-01-17,"Local pack, Site links"
orthodontist,3,3,3600,62.18,1.81,https://www.3dental.ie/orthodontics/,324,0.96,586.00,0.27,44600000,"[82,66,66,66,82,82,82,82,55,100,82,66]",2021-01-17,"Knowledge panel, Local pack, People also ask"
composite veneers ireland,3,3,90,69.29,0.80,https://www.3dental.ie/veneers-in-a-day/,8,0.02,6.00,0.47,696000,"[24,14,81,52,19,52,52,100,81,33,33,33]",2021-01-02,"Image pack, Video, People also ask"
professional teeth whitening,3,3,170,76.97,0.58,https://www.3dental.ie/teeth-whitening/,15,0.04,8.00,1,55600000,"[54,54,65,54,42,54,65,81,81,100,65,54]",2020-12-24,"Local pack, Site links, Reviews, People also ask, FAQ"
dental implant supported dentures cost,3,3,90,66.46,0.00,https://www.3dental.ie/implant-retained-dentures/,8,0.02,0.00,0,5600000,"[0,0,0,100,0,0,0,0,100,0,0,0]",2020-12-30,People also ask
emergency dentist dublin,3,3,1600,67.37,1.16,https://www.3dental.ie/emergencies/,144,0.42,167.00,0.61,958000,"[67,54,54,67,100,100,67,67,54,67,79,67]",2021-01-17,"Local pack, People also ask"
braces cost with medical card,3,3,90,77.93,0.00,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,1,0,0.00,0.71,12700000,"[67,0,0,33,33,0,67,0,0,100,100,33]",2020-12-30,"Site links, People also ask"
ceramic zirconia dental implants,3,3,90,44.34,0.00,https://www.3dental.ie/blog/what-material-are-dental-implants-made-of-/,8,0.02,0.00,0,601000,"[0,0,0,0,0,0,0,0,0,100,0,0]",2021-01-05,"Image pack, Site links, Reviews, Featured snippet, People also ask"
ultra thin veneers,3,3,140,54.23,0.59,https://www.3dental.ie/veneers/,12,0.03,7.00,0.66,581000,"[28,34,66,44,28,44,28,22,44,100,34,34]",2021-01-06,"Image pack, People also ask"
what is a root canal,3,3,590,79.52,0.11,https://www.3dental.ie/blog/what-is-root-canal-treatment/,10,0.02,1.00,0.03,114000000,"[82,82,82,82,67,82,82,82,100,82,67,100]",2021-01-01,"Knowledge panel, Image pack, Site links, People also ask"
cost of dental bridge 3 teeth,3,3,90,64.83,0.00,https://www.3dental.ie/bridges/,8,0.02,0.00,0,7050000,"[100,33,100,0,33,0,0,0,0,0,0,0]",2021-01-02,"Image pack, Featured snippet, People also ask"
dental braces,3,3,140,79.21,1.28,https://www.3dental.ie/blog/types-of-dental-braces-for-adults/,12,0.03,16.00,0.54,333000000,"[42,27,65,54,35,42,65,65,100,81,65,54]",2021-01-07,"Local pack, Image pack, Site links, People also ask"
3d dental red cow,3,3,110,77.98,1.49,https://www.3dental.ie/price-list/,1,0,2.00,0.11,4070000,"[15,27,27,42,27,35,42,81,100,35,54,54]",2021-01-03,"Knowledge panel, Site links, Reviews, Video Carousel"
endodontist,4,4,720,66.52,2.20,https://www.3dental.ie/endodontics/,50,0.14,110.00,0.04,12100000,"[44,82,82,55,36,67,82,100,82,82,82,100]",2021-01-17,"Knowledge panel, Local pack, Site links, People also ask"
snoring device,4,4,170,76.33,0.26,https://www.3dental.ie/snoring-devices/,11,0.03,3.00,1,51800000,"[42,42,54,54,65,65,35,65,100,65,81,100]",2021-01-09,"Site links, Featured snippet, AdWords top, Shopping ads, People also ask"
3 dental reviews,4,4,110,81.81,1.47,https://www.3dental.ie/price-list/,1,0,2.00,0.08,246000000,"[82,65,82,82,41,29,65,100,82,100,82,65]",2020-12-28,"Knowledge panel, Site links, Reviews, Video Carousel"
veneers cost,4,4,260,76.15,0.48,https://www.3dental.ie/veneers-in-a-day/,18,0.05,8.00,0.25,71600000,"[54,44,100,82,54,82,67,82,82,100,67,67]",2021-01-11,"Image pack, Featured snippet, People also ask"
3 dental dublin,4,4,1000,83.15,1.48,https://www.3dental.ie/locations/,14,0.04,20.00,0.06,23200000,"[17,46,38,21,9,31,84,100,68,84,84,84]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
endodontist near me,4,4,90,61.83,1.20,https://www.3dental.ie/endodontics/,6,0.01,7.00,0.1,328000000,"[29,14,14,14,14,14,14,100,14,14,43,14]",2020-12-21,"Local pack, Reviews, People also ask, FAQ"
dentist that puts you to sleep for treatment,4,4,90,59.54,0.00,https://www.3dental.ie/sedation-dentistry/,6,0.01,0.00,0,419000000,"[0,11,11,100,0,0,0,0,0,0,0,11]",2021-01-13,"Featured snippet, People also ask"
dentist open on saturday,4,4,260,56.84,1.26,https://www.3dental.ie/emergencies/,18,0.05,22.00,0.36,47600000,"[81,67,100,81,67,23,23,35,35,44,44,67]",2021-01-05,Local pack
composite bonding teeth,4,4,260,72.83,0.95,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,3,0,3.00,0.2,64700000,"[35,19,35,29,29,54,44,81,100,81,54,54]",2020-12-21,"Image pack, People also ask"
cost of dentures ireland,4,3,260,71.21,0.43,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,18,0.05,7.00,0.35,693000,"[36,67,54,28,28,44,67,82,82,82,100,100]",2021-01-17,People also ask
dental care company,4,4,90,70.5,0.00,https://www.3dental.ie/,1,0,0.00,0,405000000,"[0,0,100,50,0,50,0,0,0,0,0,0]",2021-01-10,"Local pack, People also ask"
straight teeth,4,4,720,66.03,2.15,https://www.3dental.ie/six-month-braces/,50,0.14,108.00,0.64,183000000,"[59,88,59,59,72,72,72,88,72,72,72,100]",2021-01-17,"Image pack, Site links, People also ask"
are dentists open in level 5,4,4,390,81.09,0.83,https://www.3dental.ie/blog/we-are-open/,27,0.08,22.00,0.04,17900000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2021-01-11,Featured snippet
what is composite bonding,4,4,260,69.85,0.42,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,18,0.05,7.00,0.01,40000000,"[24,8,36,19,24,36,36,54,100,54,54,66]",2020-12-22,"Featured snippet, People also ask"
orthodontist limerick,4,4,260,70.55,1.90,https://www.3dental.ie/orthodontics/,18,0.05,34.00,0.48,89,"[81,100,100,100,100,100,100,81,65,100,100,65]",2020-12-28,"Local pack, Image pack, Site links, Reviews"
3 dental teeth whitening,4,4,90,79.57,0.81,https://www.3dental.ie/cosmetic-dentistry/,1,0,1.00,0.8,65700000,"[14,43,14,100,14,14,14,29,14,14,14,14]",2021-01-09,"Knowledge panel, Site links"
24 hour dentist,4,4,140,61.26,1.27,https://www.3dental.ie/emergencies/,9,0.02,12.00,0.49,66200000,"[82,100,82,82,82,41,65,65,82,82,100,82]",2020-12-31,"Local pack, People also ask"
how much does invisalign cost,4,4,140,59.75,1.04,https://www.3dental.ie/invisalign/,9,0.02,10.00,0.52,12100000,"[27,19,35,35,27,35,42,65,81,100,65,65]",2021-01-02,"Featured snippet, People also ask"
3d dental dublin,4,4,170,78.71,1.30,https://www.3dental.ie/locations/,2,0,3.00,0.12,4070000,"[44,34,53,44,34,16,34,53,66,81,81,100]",2021-01-05,"Knowledge panel, Site links, Reviews, Video Carousel"
medical card dentist,4,4,1000,74.34,0.87,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,14,0.04,12.00,0.06,39000000,"[55,63,63,37,20,37,81,81,81,81,100,100]",2021-01-17,"Local pack, Site links, People also ask"
root canal,4,4,2400,78.46,0.62,https://www.3dental.ie/blog/what-is-root-canal-treatment/,168,0.5,104.00,0.07,125000000,"[83,100,100,83,83,100,83,100,100,100,83,100]",2021-01-17,"Knowledge panel, Site links, Featured snippet, People also ask"
medical card dental entitlements,4,4,110,74.46,0.00,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,1,0,0.00,0.02,335000,"[19,27,42,35,15,4,8,19,65,65,100,81]",2021-01-12,"Site links, People also ask"
3 dental red cow,4,4,320,80.27,1.59,https://www.3dental.ie/locations/,4,0.01,7.00,0.05,88,"[29,54,82,54,36,15,54,100,44,29,29,36]",2020-12-21,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
invisalign ireland,4,4,260,73.25,2.06,https://www.3dental.ie/invisalign/,3,0,7.00,0.68,405000,"[44,44,67,67,44,54,67,100,100,82,82,82]",2020-12-28,"Local pack, Site links, AdWords top, People also ask"
gum graft,4,4,210,64.01,1.37,https://www.3dental.ie/gum-treatments/,14,0.04,20.00,0.01,5330000,"[65,65,65,81,81,81,100,100,65,100,100,65]",2021-01-05,"Image pack, Site links, People also ask"
dental fillins,4,4,90,66.89,0.00,https://www.3dental.ie/white-fillings/,6,0.01,0.00,0,7310000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2021-01-14,"Knowledge panel, People also ask"
anti snoring device,4,4,480,76.72,0.46,https://www.3dental.ie/snoring-devices/,33,0.09,15.00,1,6070000,"[82,55,100,55,36,44,36,44,55,55,44,55]",2020-12-25,"Image pack, Site links"
3d dental limerick,4,4,170,74.58,1.06,https://www.3dental.ie/locations/,2,0,2.00,0.09,577000,"[22,22,53,53,28,16,28,66,81,81,81,100]",2021-01-13,"Knowledge panel, Image pack, Video"
toothache relief,4,4,260,78.79,2.89,https://www.3dental.ie/blog/5-ways-to-ease-toothache/,18,0.05,52.00,0.73,23200000,"[15,29,44,15,29,54,54,35,54,54,81,100]",2020-12-23,"Site links, People also ask"
average price of invisalign braces,4,4,90,63.45,0.00,https://www.3dental.ie/invisalign/,6,0.01,0.00,0.71,212000,"[20,0,20,0,0,0,0,0,100,0,0,60]",2021-01-07,"Site links, Featured snippet, People also ask"
3 dental limerick,4,0,1300,85.48,1.22,https://www.3dental.ie/general-dentistry/,18,0.05,22.00,0.03,800000,"[31,53,46,38,21,38,84,84,84,100,84,100]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
emergency dentist dublin open now,4,4,140,68.28,1.65,https://www.3dental.ie/emergencies/,1,0,3.00,0.87,4650000,"[0,28,28,44,67,100,36,23,18,13,28,44]",2021-01-05,"Local pack, People also ask"
crooked gap teeth,4,4,90,56.98,0.00,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,6,0.01,0.00,0,3140000,"[0,100,14,0,14,0,14,0,0,57,0,0]",2020-12-22,"Image pack, Site links, People also ask"
teeth in a day,4,4,110,63.24,0.37,https://www.3dental.ie/blog/teeth-in-a-day-cost-ireland/,7,0.02,2.00,0.7,346000000,"[82,82,82,65,65,53,82,100,53,65,53,65]",2021-01-15,"Featured snippet, People also ask"
list of dentists that accept medical card,4,4,210,72.01,0.85,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,2,0,2.00,0.11,5320000,"[3,1,1,6,4,3,13,36,67,67,100,82]",2021-01-02,"Local pack, Site links, People also ask"
teeth whitening dentist,4,4,320,73.24,0.62,https://www.3dental.ie/teeth-whitening/,22,0.06,13.00,1,56400000,"[54,54,81,67,44,54,67,100,100,100,81,67]",2021-01-06,"Local pack, Image pack, People also ask"
braces braces braces,4,4,90,68.16,0.00,https://www.3dental.ie/blog/different-types-of-braces-brackets/,1,0,0.00,0.1,183000000,"[20,20,0,0,20,20,40,100,20,20,0,40]",2021-01-09,"Local pack, Image pack, Site links, People also ask"
invisalign price,4,4,1300,73.05,2.39,https://www.3dental.ie/blog/how-much-is-invisalign/,91,0.27,217.00,0.62,8620000,"[45,63,63,45,55,81,100,100,100,100,81,81]",2021-01-17,"Image pack, Site links, People also ask"
buy new teeth,4,4,90,61.38,0.00,https://www.3dental.ie/blog/teeth-in-a-day-cost-ireland/,6,0.01,0.00,0,462000000,"[0,11,100,11,0,0,22,11,0,11,0,0]",2021-01-15,"Local pack, People also ask"
composite bonding cost,4,4,210,70.37,0.60,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,2,0,1.00,0.18,119000000,"[34,28,53,53,44,66,66,81,100,81,53,44]",2020-12-24,"Image pack, Site links, People also ask"
medical card dental entitlements 2019,4,4,140,78.7,0.00,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,1,0,0.00,0.1,785000,"[81,53,100,100,53,16,13,34,34,28,28,22]",2021-01-09,"Site links, People also ask"
dental implants dublin,4,4,390,67.82,0.83,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,27,0.08,22.00,0.48,995000,"[100,100,66,54,66,54,66,66,54,81,81,54]",2020-12-24,"Local pack, AdWords top, People also ask"
invisalign cost,4,4,480,71.98,1.48,https://www.3dental.ie/blog/how-much-is-invisalign/,33,0.09,49.00,0.59,11800000,"[44,36,54,54,36,44,54,82,100,82,100,82]",2021-01-10,"Image pack, People also ask"
3 dental prices,4,4,90,78.12,0.99,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,1,0,1.00,0.18,156000000,"[79,36,50,100,79,64,100,64,100,64,50,64]",2020-12-28,"Image pack, Site links, People also ask"
root canal treatment,4,3,880,74.44,0.57,https://www.3dental.ie/blog/how-much-does-root-canal-cost/,61,0.18,35.00,0.1,62900000,"[72,72,72,72,72,88,88,88,88,100,72,100]",2021-01-17,"Featured snippet, People also ask"
does medical card cover dental,4,4,170,74.75,1.66,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,2,0,3.00,0.02,203000000,"[42,42,81,65,27,27,54,81,81,65,100,100]",2021-01-06,"Site links, People also ask"
veneers,4,4,6600,72.25,0.71,https://www.3dental.ie/veneers/,462,1.37,328.00,0.15,85600000,"[36,100,55,45,45,45,55,67,100,55,55,67]",2021-01-17,"Image pack, People also ask"
veeners,4,4,720,71.21,0.74,https://www.3dental.ie/veneers/,50,0.14,37.00,0.21,94100000,"[32,100,59,48,59,59,59,88,100,59,72,72]",2021-01-17,"Image pack, People also ask"
invisalign before and after,4,4,880,59.98,1.95,https://www.3dental.ie/invisalign/,61,0.18,120.00,0.15,11000000,"[37,55,55,37,37,55,77,77,77,100,100,100]",2021-01-17,"Image pack, People also ask"
wisdom teeth removal,4,4,880,75.09,1.15,https://www.3dental.ie/tooth-extractions/,61,0.18,70.00,0.12,43200000,"[55,77,68,55,45,55,77,77,77,77,100,100]",2021-01-17,"Local pack, Image pack, People also ask"
smile,4,3,4400,71.31,2.27,https://www.3dental.ie/smile-gallery/,308,0.91,699.00,0.08,4260000000,"[67,100,81,81,81,100,81,81,81,81,81,100]",2021-01-17,"Local pack, Image pack, Site links, Reviews, Video Carousel"
best dentist in ireland,4,4,110,68.92,0.50,https://www.3dental.ie/,7,0.02,3.00,0.27,15500000,"[22,22,28,28,16,13,22,100,53,44,44,44]",2021-01-04,"Local pack, People also ask"
dentist red cow,4,4,170,80.22,2.85,https://www.3dental.ie/locations/,2,0,6.00,0.14,6030000,"[54,42,65,81,42,65,81,100,100,81,81,81]",2020-12-25,"Knowledge panel, Site links, Reviews, Video"
how do veneers work,4,4,110,76.99,0.31,https://www.3dental.ie/veneers-in-a-day/,7,0.02,2.00,0.03,19700000,"[19,27,100,42,27,35,27,42,35,65,27,35]",2021-01-03,"Image pack, Site links, Featured snippet, People also ask"
composite bonding before and after,4,4,320,61.92,1.29,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,4,0.01,5.00,0.02,75700000,"[13,10,36,29,19,29,36,54,82,82,100,100]",2021-01-08,"Image pack, Site links, People also ask"
denture implants,4,4,170,74.67,0.60,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,11,0.03,7.00,0.44,19400000,"[100,66,54,19,15,12,12,15,12,19,15,15]",2021-01-12,"Local pack, Image pack, People also ask"
how much are composite veneers,4,4,90,68.43,0.93,https://www.3dental.ie/veneers-in-a-day/,6,0.01,5.00,0.19,5970000,"[43,100,71,14,14,29,43,29,43,43,14,14]",2021-01-02,People also ask
surgical tooth extraction,4,4,110,75.39,0.79,https://www.3dental.ie/tooth-extractions/,7,0.02,6.00,0.08,17200000,"[64,64,64,64,79,79,79,64,64,100,100,50]",2020-12-22,"Featured snippet, People also ask"
veneer teeth,4,6,1000,76.33,0.85,https://www.3dental.ie/veneers/,70,0.2,59.00,0.9,40400000,"[38,100,68,38,38,46,46,53,84,53,53,53]",2021-01-17,"Local pack, Image pack, Site links, People also ask"
medical card dental entitlements 2020,4,4,110,70.58,0.60,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,1,0,0.00,0.11,838000,"[0,0,28,16,3,6,9,34,53,81,100,66]",2021-01-11,"Image pack, Site links, People also ask"
dental implant supported dentures cost,4,4,90,66.46,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,6,0.01,0.00,0,5600000,"[0,0,0,100,0,0,0,0,100,0,0,0]",2020-12-30,People also ask
dental implants northern ireland cost,4,4,260,57.31,0.43,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,18,0.05,7.00,0.65,1240000,"[82,67,100,82,44,36,54,82,82,67,67,67]",2020-12-25,"Image pack, People also ask"
3d dental red cow,4,4,110,77.98,1.49,https://www.3dental.ie/locations/,1,0,2.00,0.11,4070000,"[15,27,27,42,27,35,42,81,100,35,54,54]",2021-01-03,"Knowledge panel, Site links, Reviews, Video Carousel"
clear braces cost vs metal,5,5,90,53.16,0.00,https://www.3dental.ie/blog/invisalign-vs-invisible-braces/,4,0.01,0.00,0,11900000,"[40,0,20,0,20,20,100,20,20,20,20,0]",2021-01-01,"Image pack, Site links, People also ask"
dentist ireland,5,5,590,85.24,0.67,https://www.3dental.ie/,29,0.08,19.00,0.15,15300000,"[11,9,17,14,46,38,100,53,25,25,21,25]",2021-01-10,"Local pack, Site links, People also ask"
cheap braces ireland,5,5,110,72.75,1.43,https://www.3dental.ie/adult-braces/,5,0.01,7.00,0.84,24800000,"[65,53,65,65,41,53,65,100,100,82,82,65]",2020-12-24,"Local pack, Site links, People also ask"
dentist price list,5,5,140,68.31,0.34,https://www.3dental.ie/price-list/,7,0.02,2.00,0.26,49500000,"[52,43,67,67,52,19,52,100,81,81,100,100]",2020-12-27,"Local pack, Site links, People also ask"
cheapest way to straighten teeth,5,5,90,67.19,2.00,https://www.3dental.ie/blog/the-7-most-faq-s-of-teeth-straightening/,4,0.01,9.00,1,575000,"[100,14,29,14,14,14,100,29,71,14,14,14]",2021-01-02,"Site links, Featured snippet, AdWords bottom, People also ask"
clear braces,5,6,2400,71.79,2.08,https://www.3dental.ie/adult-braces/,24,0.07,49.00,0.5,115000000,"[23,82,100,30,30,43,55,55,43,66,55,55]",2021-01-17,"Knowledge panel, Image pack, Site links, Video Carousel, People also ask, FAQ"
dentist near me,5,6,9900,70.89,1.05,https://www.3dental.ie/,495,1.47,519.00,0.19,953000000,"[36,55,45,45,36,36,67,82,82,82,100,82]",2021-01-17,"Local pack, Site links, FAQ"
prsi dental entitlements 2020,5,5,110,79.44,0.73,https://www.3dental.ie/blog/prsi-dental-entitlements-in-2020/,5,0.01,4.00,0.04,97,"[0,0,0,0,3,6,6,81,66,66,100,100]",2021-01-11,"Image pack, People also ask"
crown dental dublin,5,5,90,75.87,0.81,https://www.3dental.ie/crowns/,0,0,0.00,0.13,1950000,"[82,53,100,65,65,24,29,53,53,53,53,65]",2021-01-02,"Knowledge panel, Site links, Reviews, Video, People also ask"
bonded retainer,5,5,140,55.79,1.47,https://www.3dental.ie/blog/the-ultimate-guide-to-orthodontic-retainers/,7,0.02,10.00,0.07,1750000,"[54,42,54,54,42,19,42,81,81,81,65,100]",2020-12-26,"Image pack, Site links, Featured snippet, People also ask"
veneers shaved teeth,5,5,140,68.64,0.00,https://www.3dental.ie/no-prep-veneers/,7,0.02,0.00,0.01,515000,"[6,9,34,28,9,16,16,28,81,100,66,81]",2021-01-11,"Image pack, People also ask"
toothache remedy,5,5,260,78.32,3.51,https://www.3dental.ie/blog/5-ways-to-ease-toothache/,2,0,9.00,0.35,15800000,"[67,67,67,67,100,100,67,54,44,44,54,82]",2020-12-27,"Site links, People also ask"
how much is teeth whitening,5,5,110,80.14,0.41,https://www.3dental.ie/teeth-whitening/,5,0.01,2.00,0.96,83200000,"[64,50,64,79,64,79,79,100,100,100,79,64]",2021-01-07,People also ask
3 dental teeth whitening,5,5,90,79.57,0.81,https://www.3dental.ie/blog/what-stains-teeth/,0,0,0.00,0.8,65700000,"[14,43,14,100,14,14,14,29,14,14,14,14]",2021-01-09,"Knowledge panel, Site links"
dental surgery recovery,5,5,90,61.48,0.00,https://www.3dental.ie/dental-surgery/,4,0.01,0.00,0,44700000,"[33,0,100,0,33,0,33,33,33,0,33,67]",2021-01-14,"Featured snippet, People also ask"
how to numb a toothache,5,5,90,72.27,8.04,https://www.3dental.ie/blog/5-ways-to-ease-toothache/,4,0.01,36.00,0.77,648000,"[100,75,50,25,25,25,25,25,50,50,25,75]",2021-01-14,"Site links, Featured snippet, People also ask"
3d dental dublin,5,5,170,78.71,1.30,https://www.3dental.ie/about/,1,0,2.00,0.12,4070000,"[44,34,53,44,34,16,34,53,66,81,81,100]",2021-01-05,"Knowledge panel, Site links, Reviews, Video Carousel"
smile dental clinic,5,5,170,66.35,0.67,https://www.3dental.ie/,1,0,1.00,0.29,98500000,"[52,100,67,52,33,67,67,100,81,81,100,100]",2021-01-15,"Local pack, Site links, Reviews, People also ask"
wisdom tooth extraction,5,5,1000,76.66,1.10,https://www.3dental.ie/tooth-extractions/,50,0.14,55.00,0.14,26600000,"[45,81,63,37,30,45,63,81,63,81,81,100]",2021-01-17,"Local pack, Image pack, Site links, People also ask"
emergency dental treatment limerick,5,7,90,64.68,0.00,https://www.3dental.ie/general-dentistry/,0,0,0.00,0,81,"[11,11,0,0,100,11,0,0,0,0,0,0]",2021-01-17,"Knowledge panel, Image pack, Site links"
invisiline,5,5,720,68.54,1.68,https://www.3dental.ie/invisalign/,36,0.1,60.00,0.43,9610000,"[100,100,82,67,67,67,67,67,55,82,82,67]",2021-01-17,"Local pack, Image pack, Site links, Tweet, AdWords top, Video Carousel, People also ask"
dental fillins,5,5,90,66.89,0.00,https://www.3dental.ie/blog/3-dentals-guide-to-fillings/,4,0.01,0.00,0,7310000,"[0,0,100,0,0,0,0,0,0,0,0,0]",2021-01-14,"Knowledge panel, People also ask"
3 dental limerick,5,0,1300,85.48,1.22,https://www.3dental.ie/dental-implants/,13,0.03,15.00,0.03,800000,"[31,53,46,38,21,38,84,84,84,100,84,100]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
invisalign,5,5,8100,68.31,3.05,https://www.3dental.ie/invisalign/,81,0.24,247.00,0.51,11600000,"[55,82,82,55,55,82,100,100,100,100,100,100]",2021-01-16,"Local pack, Image pack, Site links, Tweet, AdWords top, People also ask"
wisdom tooth extraction cost,5,5,170,71.81,0.94,https://www.3dental.ie/tooth-extractions/,8,0.02,7.00,0.25,5310000,"[81,52,100,81,67,43,67,100,81,81,81,100]",2020-12-21,"Image pack, People also ask"
teeth in a day,5,5,110,63.24,0.37,https://www.3dental.ie/smile-in-a-day/,5,0.01,2.00,0.7,346000000,"[82,82,82,65,65,53,82,100,53,65,53,65]",2021-01-15,"Featured snippet, People also ask"
buy new teeth,5,5,90,61.38,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,4,0.01,0.00,0,462000000,"[0,11,100,11,0,0,22,11,0,11,0,0]",2021-01-15,"Local pack, People also ask"
dental filling,5,5,170,75.07,2.08,https://www.3dental.ie/blog/3-dentals-guide-to-fillings/,8,0.02,17.00,0.35,1190000000,"[67,52,81,67,67,81,100,81,81,81,81,100]",2020-12-26,"Local pack, Image pack, Site links, People also ask"
dental prices ireland,5,5,320,76.77,0.58,https://www.3dental.ie/blog/teeth-in-a-day-cost-ireland/,16,0.04,9.00,0.41,13300000,"[100,67,100,82,54,36,67,100,82,100,100,100]",2020-12-21,"Site links, Featured snippet, People also ask"
teeth cleaning prsi,5,5,140,75.49,0.85,https://www.3dental.ie/blog/prsi-dental-entitlements-in-2020/,7,0.02,5.00,0.06,14200,"[42,35,100,100,35,4,8,54,65,65,54,42]",2020-12-29,People also ask
mouth guard for teeth grinding ireland,5,5,90,71.92,0.47,https://www.3dental.ie/blog/how-to-stop-teeth-grinding-top-tips/,4,0.01,2.00,1,1210000,"[29,41,41,41,29,65,82,100,65,41,82,100]",2021-01-12,People also ask
best dentist in,5,5,90,71.22,0.00,https://www.3dental.ie/,4,0.01,0.00,0,167000000,"[50,50,0,0,0,0,0,100,0,0,0,50]",2021-01-15,"Local pack, Site links, People also ask"
what is invisalign,5,5,170,65.08,1.23,https://www.3dental.ie/blog/how-much-is-invisalign/,8,0.02,10.00,0.38,10500000,"[42,54,54,81,100,65,54,65,65,81,54,65]",2021-01-08,"Knowledge panel, Image pack, People also ask"
3 dental prices,5,5,90,78.12,0.99,https://www.3dental.ie/crowns/,0,0,0.00,0.18,156000000,"[79,36,50,100,79,64,100,64,100,64,50,64]",2020-12-28,"Image pack, Site links, People also ask"
prsi dental entitlements,5,5,110,76.47,0.96,https://www.3dental.ie/blog/prsi-dental-entitlements-in-2020/,5,0.01,5.00,0.02,11700,"[67,43,81,52,33,10,14,100,67,43,24,43]",2021-01-09,"Image pack, People also ask"
emergency dentist dublin 24 hour,5,5,110,58.48,1.58,https://www.3dental.ie/emergencies/,5,0.01,8.00,0.81,968000,"[52,52,43,33,67,33,24,33,81,100,81,81]",2020-12-30,"Local pack, Video, People also ask"
false teeth implants,5,5,90,72.97,0.46,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,4,0.01,2.00,0.45,1330000,"[20,20,80,100,20,20,20,100,20,40,20,20]",2020-12-31,"Image pack, People also ask"
dentist that take medical card,5,5,110,71.88,0.61,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,1,0,0.00,0.15,67400000,"[27,35,42,27,35,15,19,35,54,65,100,100]",2020-12-22,"Local pack, Site links, People also ask"
can you drink coffee with clear braces,5,5,90,44.55,0.00,https://www.3dental.ie/blog/5-most-faqs-on-clear-braces/,4,0.01,0.00,0.29,41500000,"[11,22,11,100,0,33,0,11,0,11,22,33]",2021-01-12,"Featured snippet, People also ask"
dental surgery,5,5,260,66.85,0.85,https://www.3dental.ie/dental-surgery/,13,0.03,11.00,0.12,463000000,"[81,66,100,100,81,81,66,66,81,100,81,100]",2021-01-14,"Local pack, Site links, People also ask"
gum shield for braces,5,5,170,71.32,0.61,https://www.3dental.ie/blog/braces-and-sports-guards/,8,0.02,5.00,1,3090000,"[44,34,34,22,66,100,81,53,28,81,81,44]",2020-12-21,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
